title,release_year,locations,lat,long,imdbID,rating_imdb,poster,genre,sentiment,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
180,2011,Epic Roasthouse (399 Embarcadero),37.7904574,-122.3890122,tt1855110,6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,"Drama,Romance",-0.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180,2011,Mason & California Streets (Nob Hill),37.7918421,-122.4108428,tt1855110,6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,"Drama,Romance",-0.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180,2011,Justin Herman Plaza,37.7951195,-122.3952007,tt1855110,6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,"Drama,Romance",-0.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180,2011,200 block Market Street,37.7931347,-122.3965636,tt1855110,6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,"Drama,Romance",-0.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180,2011,City Hall,37.7792597,-122.4192646,tt1855110,6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,"Drama,Romance",-0.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180,2011,Polk & Larkin Streets,37.7853787,-122.4177161,tt1855110,6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,"Drama,Romance",-0.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180,2011,Randall Museum,37.7582128,-122.4132527,tt1855110,6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,"Drama,Romance",-0.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180,2011,555 Market St.,37.7899844,-122.3999366,tt1855110,6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,"Drama,Romance",-0.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Night Full of Rain,1978,Embarcadero Freeway,37.7980721,-122.3968204,tt0077548,6.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMDI3NzY1MV5BMl5BanBnXkFtZTYwMzg2Mzc4._V1_SX300.jpg,Drama,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Night Full of Rain,1978,"Fairmont Hotel (950 Mason Street, Nob Hill)",37.7924958,-122.4100355,tt0077548,6.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMDI3NzY1MV5BMl5BanBnXkFtZTYwMzg2Mzc4._V1_SX300.jpg,Drama,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),37.7821582,-122.4065833,tt0077548,6.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMDI3NzY1MV5BMl5BanBnXkFtZTYwMzg2Mzc4._V1_SX300.jpg,Drama,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Night Full of Rain,1978,Broadway (North Beach),37.7959394,-122.4218895,tt0077548,6.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMDI3NzY1MV5BMl5BanBnXkFtZTYwMzg2Mzc4._V1_SX300.jpg,Drama,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summertime,2015,20th St and Church (3885 20th St),37.7579422,-122.4275639,tt0048673,7.5,https://images-na.ssl-images-amazon.com/images/M/MV5BZTdmMTRjNTMtYmUzMy00YmE5LWI1ZDYtNGEyYTRkOTIwMTk1XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"Romance,Drama",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
About a Boy,2014,Broderick from Fulton to McAlister,37.77712,-122.439959,tt0276751,7.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzg4MDAzNV5BMl5BanBnXkFtZTgwMjcxNTYxMTE@._V1_SX300.jpg,"Comedy,Drama,Romance",-1.27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
About a Boy,2014,Crissy Field,37.8039069,-122.4640618,tt0276751,7.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzg4MDAzNV5BMl5BanBnXkFtZTgwMjcxNTYxMTE@._V1_SX300.jpg,"Comedy,Drama,Romance",-1.27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
About a Boy,2014,Powell from Bush and Sutter,37.7891189,-122.4084207,tt0276751,7.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzg4MDAzNV5BMl5BanBnXkFtZTgwMjcxNTYxMTE@._V1_SX300.jpg,"Comedy,Drama,Romance",-1.27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Age of Adaline,2015,Pier 50- end of the pier,37.7739758,-122.3871448,tt1655441,7.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzMTQzMTA2MjheQTJeQWpwZ15BbWU4MDk2MTg2MzUx._V1_SX300.jpg,"Drama,Fantasy,Romance",0.67,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
