,title,release_year,locations,locations_formatted,formatted_address,lat,long
1,180,2011,Epic Roasthouse (399 Embarcadero),"399 Embarcadero, San Francisco, CA","399 The Embarcadero, San Francisco, CA 94105, USA",37.7904574,-122.3890122
2,180,2011,Mason & California Streets (Nob Hill),"Mason and California Streets, San Francisco, CA","California St & Mason St, San Francisco, CA 94108, USA",37.7918421,-122.4108428
3,180,2011,Justin Herman Plaza,"Justin Herman Plaza, San Francisco, CA","Market St & Steuart St, San Francisco, CA 94105, USA",37.7951195,-122.3952007
4,180,2011,200 block Market Street,"200 block Market Street, San Francisco, CA","200 Market St, San Francisco, CA 94111, USA",37.7931347,-122.3965636
5,180,2011,City Hall,"City Hall, San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
6,180,2011,Polk & Larkin Streets,"Polk and Larkin Streets, San Francisco, CA","800 Larkin St, San Francisco, CA 94109, USA",37.7853787,-122.4177161
7,180,2011,Randall Museum,"Randall Museum, San Francisco, CA","745 Treat Ave, San Francisco, CA 94110, USA",37.7582128,-122.4132527
8,180,2011,555 Market St.,"555 Market St., San Francisco, CA","555 Market St, San Francisco, CA 94105, USA",37.7899844,-122.3999366
9,A Night Full of Rain,1978,Embarcadero Freeway,"Embarcadero Freeway, San Francisco, CA","The Embarcadero, San Francisco, CA, USA",37.7980721,-122.3968204
10,A Night Full of Rain,1978,"Fairmont Hotel (950 Mason Street, Nob Hill)","950 Mason Street, Nob Hill, San Francisco, CA","950 Mason St, San Francisco, CA 94108, USA",37.7924958,-122.4100355
11,A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),"901 Mission Street at 15th Street, San Francisco, CA","901 Mission St, San Francisco, CA 94103, USA",37.7821582,-122.4065833
12,A Night Full of Rain,1978,Broadway (North Beach),"Broadway, San Francisco, CA","Broadway, San Francisco, CA, USA",37.7959394,-122.4218895
13,Summertime,2015,20th St and Church (3885 20th St),"3885 20th St, San Francisco, CA","3885 20th St, San Francisco, CA 94114, USA",37.7579422,-122.4275639
14,About a Boy,2014,Broderick from Fulton to McAlister,"Broderick from Fulton to McAlister, San Francisco, CA",NA,37.77712,-122.439959
15,About a Boy,2014,Crissy Field,"Crissy Field, San Francisco, CA","Crissy Field, San Francisco, CA 94129, USA",37.8039069,-122.4640618
16,About a Boy,2014,Powell from Bush and Sutter,"Powell from Bush and Sutter, San Francisco, CA","462 Powell St, San Francisco, CA 94102, USA",37.7891189,-122.4084207
17,Age of Adaline,2015,Pier 50- end of the pier,"Pier 50- end of the pier, San Francisco, CA","Terry A Francois Blvd, San Francisco, CA 94158, USA",37.7739758,-122.3871448
18,Age of Adaline,2015,California @ Montgomery,"California at Montgomery, San Francisco, CA","California St & Montgomery St, San Francisco, CA 94104, USA",37.7928648,-122.40279
19,Age of Adaline,2015,Montgomery/Green,"Montgomery and Green, San Francisco, CA","Montgomery St, San Francisco, CA, USA",37.7975865,-122.4037614
20,Age of Adaline,2015,Driving various SF Streets,"Driving various SF Streets, San Francisco, CA","1149 Powell St, San Francisco, CA 94108, USA",37.7953841,-122.410113
21,Age of Adaline,2015,Plate Shots SF streets various,"Plate Shots SF streets various, San Francisco, CA","3251 Pierce St, San Francisco, CA 94123, USA",37.8001218,-122.4396871
22,After the Thin Man,1936,Coit Tower,"Coit Tower, San Francisco, CA","1 Telegraph Hill Blvd, San Francisco, CA 94133, USA",37.8023949,-122.4058222
23,Ant-Man,2015,California between Kearney and Davis,"California and Kearney , San Francisco, CA","California St & Kearny St, San Francisco, CA 94108, USA",37.7926612,-122.4044384
24,Americana,2015,St. Francis Episcopal Church (399 San Fernando Way),"399 San Fernando Way, San Francisco, CA","399 San Fernando Way, San Francisco, CA 94127, USA",37.7305535,-122.4696663
25,Americana,2015,Romolo Place @ Fresno St.,"Romolo Place at Fresno St., San Francisco, CA","Romolo Pl & Fresno St, San Francisco, CA 94133, USA",37.7986013,-122.4063965
26,Americana,2015,Palace of Fine Arts,"Palace of Fine Arts, San Francisco, CA","3301 Lyon St, San Francisco, CA 94123, USA",37.8019913,-122.4486565
27,Americana,2015,John Shelley Drive John McLaren Park,"John Shelley Drive John McLaren Park, San Francisco, CA","John McLaren Park, 100 John F Shelley Dr, San Francisco, CA 94134, USA",37.719309,-122.4193742
28,Americana,2015,Treasure Island,"Treasure Island, San Francisco, CA","Treasure Island, San Francisco, CA, USA",37.8235515,-122.370648
29,Americana,2015,The San Francisco School (300 Gavin St.),"300 Gavin St., San Francisco, CA","300 Gaven St, San Francisco, CA 94134, USA",37.7327806,-122.4118138
30,Americana,2015,33 Spruce St,"33 Spruce St, San Francisco, CA","33 Spruce St, San Francisco, CA 94118, USA",37.7903215,-122.4543691
31,Americana,2015,Coi Restaurant (373 Broadway),"373 Broadway, San Francisco, CA","373 Broadway, San Francisco, CA 94133, USA",37.7980647,-122.4034273
32,Americana,2015,Foreign Cinema (2534 Mission),"2534 Mission, San Francisco, CA","2534 Mission St, San Francisco, CA 94110, USA",37.7564149,-122.4191801
33,Americana,2015,Bernal Heights Park,"Bernal Heights Park, San Francisco, CA","Bernal Heights Park, 3400-3416 Folsom St, San Francisco, CA 94110, USA",37.7433416,-122.4139903
34,Americana,2015,Jackson St. at Spruce,"Jackson St. at Spruce, San Francisco, CA","Jackson St & Spruce St, San Francisco, CA 94118, USA",37.7899861,-122.4541352
35,Americana,2015,679 Madrid St,"679 Madrid St, San Francisco, CA","679 Madrid St, San Francisco, CA 94112, USA",37.7187495,-122.4346684
36,Americana,2015,Roxie Theater (3117 16th St.),"3117 16th St., San Francisco, CA","3117 16th St, San Francisco, CA 94103, USA",37.7647103,-122.4224081
37,Americana,2015,Variety Preview Room (582 Market St.),"582 Market St., San Francisco, CA","Hobart Building, 582 Market St, San Francisco, CA 94104, USA",37.7894405,-122.4016405
38,Americana,2015,Laguna Honda Hospital; 375 Laguna Honda Blvd.,"Laguna Honda Hospital; 375 Laguna Honda Blvd., San Francisco, CA","375 Laguna Honda Blvd, San Francisco, CA 94116, USA",37.7492806,-122.4570224
39,Americana,2015,3232 Jackson Ave.,"3232 Jackson Ave., San Francisco, CA","3232 Jackson St, San Francisco, CA 94118, USA",37.790931,-122.448797
40,Americana,2015,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,"20th St and Illinois and Faxon St. and Kenwood and Glenbrook at Mt. Springs, San Francisco, CA",NA,37.7287471,-122.4600096
41,Ant-Man,2015,Conzelman Rd at McCollough Rd and down Conzelman Rd.,"Conzelman Rd at McCollough Rd and down Conzelman Rd., San Francisco, CA","Hawk Hill, Conzelman Rd, Sausalito, CA 94965, USA",37.8277521,-122.4995999
42,Ant-Man,2015,Lombard at Hyde,"Lombard at Hyde, San Francisco, CA","Hyde St & Lombard St, San Francisco, CA 94109, USA",37.8020045,-122.4196371
